name,price,capacity,price_per_gb,type,cache,form_factor,interface
Kingston KC600,102.95,1024.0,0.101,SSD,128.0,mSATA,mSATA
TEAMGROUP T-Create Classic C47,259.99,4000.0,0.065,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD Red Pro,310.0,10000.0,0.031,HDD,256.0,3.5,SATA 6.0 Gb/s
Toshiba OCZ TR200,25.99,240.0,0.108,SSD,128.0,2.5,SATA 6.0 Gb/s
Micron 5200 Ion,1099.0,7680.0,0.143,SSD,128.0,2.5,SATA 6.0 Gb/s
Inland QN322,59.99,1000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate EXOS Enterprise,159.99,4000.0,0.04,HDD,256.0,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S50 Core,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,135.0,4000.0,0.034,HDD,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Z44L,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO LPX,344.99,4000.0,0.086,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2130,44.98,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Black,126.97,2000.0,0.087,HDD,64.0,3.5,SATA 3.0 Gb/s
Seagate Barracuda Green,90.67,2000.0,0.045,HDD,64.0,3.5,SATA 6.0 Gb/s
Patriot Burst,126.97,240.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital Green,126.97,480.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Apacer AS340 PANTHER,126.97,240.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
MSI SPATIUM M480,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600,324.99,2000.0,0.162,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
ADATA LEGEND 800 GOLD,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G70 PRO Aluminum,79.98,1000.0,0.08,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Micron 9300 Pro,959.0,7680.0,0.125,SSD,128.0,2.5,U.2
Seagate IronWolf NAS,257.45,10000.0,0.026,HDD,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,85.18,2000.0,0.043,HDD,128.0,3.5,SATA 6.0 Gb/s
Transcend 250S,187.92,2000.0,0.094,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black,286.99,6000.0,0.048,HDD,128.0,3.5,SATA 6.0 Gb/s
Corsair MP510,173.55,960.0,0.181,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green,115.0,480.0,0.24,SSD,128.0,M.2-2280,M.2 SATA
MyDigitalSSD Super Boot Drive,126.97,8.0,0.087,SSD,128.0,M.2-2242,M.2 SATA
Samsung 850 Evo,126.97,250.0,0.087,SSD,128.0,M.2-2280,M.2 SATA
Samsung SM951,126.97,512.0,0.087,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Maxtor 7Y250M0,126.97,250.0,0.087,HDD,8.0,3.5,SATA 1.5 Gb/s
Samsung SM961,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda Pro Compute,56.99,500.0,0.087,HDD,128.0,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S11 Pro,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Integral M,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Klevv CRAS C710,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA LEGEND 700,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,79.98,2000.0,0.04,HDD,128.0,3.5,SATA 6.0 Gb/s
ADATA XPG SPECTRIX S40G RGB,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP510,126.97,1920.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red,257.0,8000.0,0.032,HDD,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN750,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Intenso High Performance,65.41,960.0,0.068,SSD,128.0,2.5,SATA 6.0 Gb/s
Toshiba P300,85.82,2000.0,0.043,HDD,256.0,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,189.95,300.0,0.633,HDD,16.0,3.5,SATA 3.0 Gb/s
Western Digital Black,64.99,1000.0,0.065,HDD,32.0,2.5,SATA 6.0 Gb/s
TEAMGROUP GX2,126.97,128.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S11 Pro,126.97,256.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
HP FX900 Pro,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
PNY CS1031,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,58.99,640.0,0.092,HDD,16.0,3.5,SATA 3.0 Gb/s
Western Digital Scorpio Blue,126.97,1000.0,0.087,HDD,8.0,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,126.97,1000.0,0.087,HDD,32.0,3.5,SATA 6.0 Gb/s
SanDisk Ultra II,126.97,240.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
SanDisk Ultra II,199.99,480.0,0.417,SSD,128.0,2.5,SATA 6.0 Gb/s
ADATA Premier SP550,126.97,120.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Intel 600p,104.0,512.0,0.203,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 750 Evo,126.97,500.0,0.087,SSD,512.0,2.5,SATA 6.0 Gb/s
Kingston A1000,126.97,240.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSTFS31120GNTD,24.35,120.0,0.203,SSD,128.0,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S5,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4.0,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP QX,126.97,15300.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital SN530,126.97,256.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG MARS 980 PRO,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Leven JPS800,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Nextorage NEM-PAC,234.99,4000.0,0.059,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi5000,49.99,512.0,0.098,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Create Classic C47,74.98,1000.0,0.075,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk Surveillance +Rescue,191.98,8000.0,0.024,HDD,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP EX2,126.97,1000.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Toshiba N300,126.97,8000.0,0.087,HDD,256.0,3.5,SATA 6.0 Gb/s
Verbatim Vi550,14.99,128.0,0.117,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte AORUS,126.97,500.0,0.087,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Nytro Enterprise,126.97,15360.0,0.087,SSD,128.0,2.5,SAS 12.0 Gb/s
Inland Performance Plus,299.99,4000.0,0.075,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750,459.99,4000.0,0.115,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos 7E8 512e,267.29,8000.0,0.033,HDD,256.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He10,268.06,10000.0,0.027,HDD,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,126.97,160.0,0.087,HDD,8.0,3.5,SATA 3.0 Gb/s
Seagate Enterprise Capacity,126.97,12000.0,0.087,HDD,256.0,3.5,SATA 6.0 Gb/s
SanDisk Ultra 3D,126.97,4000.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Apacer AS340 PANTHER,126.97,120.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
MSI SPATIUM M370,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P310,79.99,1000.0,0.08,SSD,128.0,M.2-2230,M.2 PCIe 4.0 X4
Silicon Power A58,126.97,512.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Patriot Viper PV553,126.97,4000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 ELITE PS5,159.99,2000.0,0.08,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Timetec PINNACLE SD1-INDEX,124.99,2000.0,0.062,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 530 w/Heatsink,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP400,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A80,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate EXOS Enterprise,389.99,14000.0,0.087,HDD,256.0,3.5,SATA 6.0 Gb/s
Inland QN322,109.99,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Enterprise,247.99,8000.0,0.031,HDD,256.0,3.5,SATA 6.0 Gb/s
Silicon Power UD90,40.8,250.0,0.163,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Gold,290.89,6000.0,0.048,HDD,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP Cardea Zero Z440 Graphene,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S50 Lite,338.38,2000.0,0.169,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial M500,104.99,240.0,0.437,SSD,128.0,2.5,SATA 6.0 Gb/s
Silicon Power Silm S55,16.76,120.0,0.14,SSD,128.0,2.5,SATA 6.0 Gb/s
Lexar NM610,59.99,500.0,0.12,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital VelociRaptor,197.0,150.0,1.313,HDD,16.0,3.5,SATA 3.0 Gb/s
HP EX950,114.58,1000.0,0.115,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda 510,139.99,1000.0,0.14,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 830,126.97,256.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital Caviar Black,126.97,4000.0,0.087,HDD,128.0,3.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE8256GNTD,126.97,256.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X2
PNY XLR8 CS3030,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
GOODRAM IRDM PRO GEN 5,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Toshiba N300 Pro,348.99,18000.0,0.019,HDD,512.0,3.5,SATA 6.0 Gb/s
Western Digital Blue SA510,69.99,1000.0,0.07,SSD,128.0,M.2-2280,M.2 SATA
Inland Platinum,126.97,128.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen5 12000,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
KingSpec NXM,24.99,256.0,0.098,SSD,128.0,M.2-2242,M.2 PCIe 3.0 X4
Kingston Q500,32.31,240.0,0.135,SSD,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,126.97,240.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte AI TOP 100E,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Hitachi Ultrastar 7K3000,151.44,2000.0,0.076,HDD,64.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket,126.97,4000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA LEGEND 970,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Kingston SSDNow S100,126.97,16.0,0.087,SSD,128.0,2.5,SATA 3.0 Gb/s
Seagate Momentus 5400.6,44.99,250.0,0.18,HDD,8.0,2.5,SATA 3.0 Gb/s
Samsung 840 Pro,126.97,512.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Samsung 850 Evo,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 SATA
Micron 2200,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
GOODRAM CL100 gen.3,126.97,240.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
GOODRAM PX700,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk AI,126.97,18000.0,0.087,HDD,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300 Pro,294.99,16000.0,0.018,HDD,512.0,3.5,SATA 6.0 Gb/s
Toshiba N300,324.99,18000.0,0.018,HDD,128.0,3.5,SATA 6.0 Gb/s
Western Digital RE4,65.0,1000.0,0.065,HDD,64.0,3.5,SATA 3.0 Gb/s
Western Digital Blue SA510,29.99,250.0,0.12,SSD,128.0,M.2-2280,M.2 SATA
Toshiba N300 NAS,172.99,8000.0,0.022,HDD,512.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,91.79,1000.0,0.092,HDD,128.0,3.5,SATA 6.0 Gb/s
Toshiba N300 NAS,194.99,10000.0,0.019,HDD,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X14,245.0,10000.0,0.025,HDD,256.0,3.5,SATA 6.0 Gb/s
Verbatim Vi3000,57.28,512.0,0.112,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
KingSpec NX-2280,126.97,256.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A80,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 530 w/Heatsink,179.99,1000.0,0.18,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,269.0,8000.0,0.034,HDD,128.0,3.5,SATA 6.0 Gb/s
Western Digital Green,126.97,4000.0,0.087,HDD,64.0,3.5,SATA 6.0 Gb/s
Timetec 30TTQNS3SATA-1TB,47.99,1000.0,0.048,SSD,128.0,2.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO,67.98,512.0,0.133,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston HyperX 3K,126.97,120.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Pipeline HD,126.97,1000.0,0.087,HDD,64.0,3.5,SATA 3.0 Gb/s
Western Digital Black,126.97,3000.0,0.087,HDD,64.0,3.5,SATA 6.0 Gb/s
Kingston HyperX Fury,126.97,120.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
AMD RADEON-R7SSD-480G,126.97,480.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Samsung SM961,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Micron 1100,126.97,256.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Kingston A1000,126.97,480.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Nytro Enterprise,999.95,1920.0,0.521,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE3100TNTD,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation ES.3,77.0,4000.0,0.019,HDD,128.0,3.5,SAS 6.0 Gb/s
KIOXIA BG4,24.95,256.0,0.097,SSD,128.0,M.2-2230,M.2 PCIe 3.0 X4
TEAMGROUP GX2,97.99,2000.0,0.049,SSD,128.0,2.5,SATA 6.0 Gb/s
Mushkin Helix-L,100.98,2000.0,0.05,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD85,126.97,250.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
PNY CS3150 RGB,139.99,1000.0,0.14,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Toshiba P300,68.31,500.0,0.137,HDD,64.0,3.5,SATA 6.0 Gb/s
PNY CS3140,279.99,4000.0,0.07,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Intenso 3812440,27.03,256.0,0.106,SSD,128.0,2.5,SATA 6.0 Gb/s
Lexar Professional NM800PRO,93.95,1000.0,0.094,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Orico D10,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital AV-GP,49.0,1500.0,0.033,HDD,32.0,3.5,SATA 3.0 Gb/s
Intel 660p,400.17,2000.0,0.2,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MQ01ABF050M,126.97,500.0,0.087,HDD,8.0,2.5,SATA 6.0 Gb/s
Gigabyte 4000E,126.97,250.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston SSDNow UV400,126.97,480.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte Gen3 2500E,234.3,2000.0,0.117,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Green,126.97,1000.0,0.087,HDD,16.0,3.5,SATA 3.0 Gb/s
Crucial M4,126.97,128.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Samsung 830,126.97,128.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Barracuda 7200.10,126.97,160.0,0.087,HDD,8.0,3.5,SATA 3.0 Gb/s
Crucial MX200,126.97,250.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Intel P3700,1850.0,1600.0,1.156,SSD,128.0,PCIe,PCIe x4
Crucial MX300,299.99,1050.0,0.286,SSD,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP MP34,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA SU635,126.97,480.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
ADATA Ultimate SU750,126.97,256.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte AORUS,126.97,1000.0,0.087,SSD,128.0,PCIe,PCIe x4
ADATA Swordfish,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
SanDisk Ultra,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM3500,126.97,1000.0,0.087,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NE-2280,126.97,256.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M570 HS,126.97,1000.0,0.087,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Toshiba MD07ACA,126.97,14.0,0.087,HDD,256.0,3.5,SATA 6.0 Gb/s
Kingston NV3,77.06,1000.0,0.077,SSD,128.0,M.2-2230,M.2 PCIe 4.0 X4
Toshiba MG07ACA12TE,299.0,12000.0,0.025,HDD,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,271.45,10000.0,0.027,HDD,256.0,3.5,SATA 6.0 Gb/s
Silicon Power A55,15.99,128.0,0.087,SSD,128.0,M.2-2280,M.2 SATA
Integral V Series 2,126.97,480.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,126.97,480.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Intel DC P3600,352.0,400.0,0.88,SSD,128.0,PCIe,PCIe x4
Western Digital WDBSLA0010HNC-NRSN,39.99,1000.0,0.04,HDD,128.0,3.5,SATA 6.0 Gb/s
Intel D3-S4510,1395.0,7680.0,0.182,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN850P for PS5,349.99,4000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital VelociRaptor,78.56,500.0,0.157,HDD,64.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN750,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Intel Optane 900P,126.97,480.0,0.087,SSD,128.0,PCIe,PCIe x4
Western Digital Purple Pro,294.0,12000.0,0.025,HDD,256.0,3.5,SATA 6.0 Gb/s
FanXiang S101,21.99,256.0,0.086,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital Scorpio Blue,89.0,80.0,1.113,HDD,8.0,2.5,SATA 1.5 Gb/s
PNY XLR8 CS3040,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,79.0,750.0,0.105,HDD,32.0,3.5,SATA 6.0 Gb/s
Kingston SSDNow V100,126.97,256.0,0.087,SSD,128.0,2.5,SATA 3.0 Gb/s
Seagate Constellation ES,40.4,1000.0,0.04,HDD,64.0,3.5,SATA 6.0 Gb/s
Hitachi Travelstar 7K1000,126.97,1000.0,0.087,HDD,32.0,2.5,SATA 6.0 Gb/s
SanDisk Ultra 3D,79.99,250.0,0.32,SSD,128.0,2.5,SATA 6.0 Gb/s
Inland Professional,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X2
Gigabyte AORUS RGB,126.97,512.0,0.087,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
HP S700,126.97,1000.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Oyen Digital E18-8TBICS6,829.0,8000.0,0.104,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
AGI AI818,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Vortex Redline,169.99,2000.0,0.085,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM1090 w/ Heatsink,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
ADATA LEGEND 850 LITE,120.99,2000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 530,109.75,500.0,0.22,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC600,34.35,256.0,0.134,SSD,128.0,2.5,SATA 6.0 Gb/s
Intel D3-S4520,1080.0,7680.0,0.141,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Exos X24,300.99,12000.0,0.087,HDD,512.0,3.5,SATA 6.0 Gb/s
Micron 1100,299.0,2000.0,0.149,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE3128GNTD,126.97,128.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Integral V Series 2,26.66,240.0,0.111,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,167.57,3000.0,0.056,HDD,256.0,3.5,SATA 6.0 Gb/s
XOC G300,37.79,512.0,0.074,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SPECTRIX S40G RGB,126.97,4000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power XS70,426.8,4000.0,0.107,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WDBSLA0040HNC-NRSN,119.0,4000.0,0.03,HDD,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red,127.0,2000.0,0.064,HDD,256.0,3.5,SATA 6.0 Gb/s
Intenso High Performance,126.97,240.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
ADATA LEGEND 850 LITE,49.99,500.0,0.1,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,98.72,1000.0,0.099,HDD,32.0,3.5,SATA 6.0 Gb/s
Western Digital Green,106.53,240.0,0.444,SSD,128.0,M.2-2280,M.2 SATA
Seagate SkyHawk,126.97,1000.0,0.087,HDD,64.0,3.5,SATA 6.0 Gb/s
ADATA XPG SX8100,84.87,512.0,0.166,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M480,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4 5000E,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,75.6,250.0,0.302,HDD,8.0,3.5,SATA 3.0 Gb/s
Western Digital Caviar Black,155.54,500.0,0.311,HDD,32.0,3.5,SATA 6.0 Gb/s
Samsung 840 Pro,126.97,64.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Momentus,126.97,1000.0,0.087,HDD,8.0,2.5,SATA 6.0 Gb/s
Silicon Power Slim S55,25.67,240.0,0.107,SSD,128.0,2.5,SATA 6.0 Gb/s
Intel 600p,126.97,256.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX6000,126.97,512.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X2
Crucial MX500,126.97,250.0,0.087,SSD,128.0,M.2-2280,M.2 SATA
Intel Optane 905P,126.97,960.0,0.087,SSD,128.0,PCIe,PCIe x4
Seagate SkyHawk Surveillance,126.97,12000.0,0.087,HDD,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda 510,126.97,500.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM871b,126.97,256.0,0.087,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,126.97,18000.0,0.087,HDD,128.0,3.5,SATA 6.0 Gb/s
Toshiba MQ01ABD050V,126.97,500.0,0.087,HDD,128.0,2.5,SATA 6.0 Gb/s
Netac NV7000,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN740 Pyrite,126.97,256.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Orico Y-20,209.99,4000.0,0.052,SSD,128.0,2.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,274.75,10000.0,0.027,HDD,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M371,126.97,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,75.0,2000.0,0.037,HDD,64.0,3.5,SATA 6.0 Gb/s
Lexar NM990,126.97,4000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Transcend TS64GSSD370S,49.99,64.0,0.781,SSD,128.0,2.5,SATA 6.0 Gb/s
